Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
S Car State,4-4-0,50.0%,9.6,10.6,1-3-0,25.0%,-12.5,-4.8,2-0-0,100.0%,47.0,+39.0,2-1-0,66.7%,15.0,+12.0,1-3-0,25.0%,-12.5,-4.8,1-4-0,20.0%,-12.2,-4.5,0-4-0,0.0%,-18.3,-8.3,4-0-0,100.0%,37.5,29.4,2-0-0,100.0%,64.0,+51.0,1-0-0,100.0%,10.0,5.0,0-1-0,0.0%,-13.0,-9.0,3-0-0,100.0%,46.7,+37.5,0-1-0,0.0%,-13.0,-9.0,1-3-0,25.0%,-3.5,+2.6
Villanova,4-4-0,50.0%,11.1,-0.7,2-3-0,40.0%,7.6,-2.2,1-1-0,50.0%,5.5,-0.8,3-1-0,75.0%,23.8,+8.4,1-2-0,33.3%,-6.0,-10.8,0-1-0,0.0%,-7.0,-10.5,1-0-0,100.0%,-1.0,5.0,3-4-0,42.9%,12.9,-1.5,3-2-0,60.0%,21.4,+2.8,,,,,1-1-0,50.0%,13.5,-6.3,,,,,2-1-0,66.7%,17.0,1.8,2-2-0,50.0%,12.8,+2.1
TN Martin,3-3-0,50.0%,-3.4,0.6,1-2-0,33.3%,-19.7,0.2,3-1-0,75.0%,-11.8,+6.9,2-2-0,50.0%,-15.3,-0.6,0-1-0,0.0%,17.5,-9.0,3-2-0,60.0%,-13.0,3.7,3-2-0,60.0%,-13.0,3.7,0-1-0,0.0%,-12.0,-15.0,0-0-0,0.0%,53.0,--,0-1-0,0.0%,-12.0,-15.0,,,,,1-0-0,100.0%,25.5,+10.5,1-1-0,50.0%,-8.0,-3.8,0-1-0,0.0%,17.5,-9.0
Clemson,4-4-0,50.0%,16.5,0.5,3-3-0,50.0%,12.7,0.4,1-1-0,50.0%,7.0,-2.3,1-0-0,100.0%,28.0,+6.0,2-4-0,33.3%,12.8,-1.2,0-1-0,0.0%,-13.0,-9.5,0-1-0,0.0%,-13.0,-9.5,4-3-0,57.1%,20.7,1.9,2-3-0,40.0%,24.4,-1.2,1-0-0,100.0%,8.0,7.0,,,,,1-0-0,100.0%,28.0,+6.0,0-1-0,0.0%,28.0,-4.5,2-3-0,40.0%,22.0,+0.3
Jksnville St,3-3-0,50.0%,11.6,3.7,2-2-0,50.0%,1.0,2.6,0-1-0,0.0%,34.5,-0.5,0-2-0,0.0%,-0.5,-1.8,3-1-0,75.0%,4.5,6.4,1-1-0,50.0%,6.0,5.8,2-2-0,50.0%,-1.5,1.6,1-1-0,50.0%,11.5,7.8,0-1-0,0.0%,34.5,-0.5,1-1-0,50.0%,-4.0,-0.5,,,,,0-1-0,0.0%,34.5,-0.5,1-0-0,100.0%,8.0,12.0,2-1-0,66.7%,6.7,+7.8
Coppin St,4-4-0,50.0%,-25.9,-0.8,1-2-0,33.3%,-17.0,1.8,2-0-0,100.0%,-22.0,+10.0,3-4-0,42.9%,-27.4,-3.6,,,,,4-3-0,57.1%,-28.0,-0.6,4-4-0,50.0%,-25.9,-0.8,,,,,0-1-0,0.0%,-11.0,-2.0,,,,,1-1-0,50.0%,-29.5,-4.5,1-0-0,100.0%,-29.0,+0.5,2-2-0,50.0%,-31.8,-3.0,1-3-0,25.0%,-26.0,-4.3
Michigan St,4-4-0,50.0%,10.6,-0.6,3-1-0,75.0%,13.8,2.0,2-1-0,66.7%,10.7,+3.5,1-1-0,50.0%,8.5,-1.0,2-3-0,40.0%,8.8,-1.4,,,,,1-1-0,50.0%,-2.5,3.3,3-3-0,50.0%,15.0,-1.9,2-2-0,50.0%,20.5,-2.4,1-1-0,50.0%,-2.5,-1.0,,,,,0-2-0,0.0%,0.0,-5.5,1-1-0,50.0%,15.0,-1.0,1-2-0,33.3%,19.3,-4.5
N Iowa,3-3-0,50.0%,4.1,-4.3,1-1-0,50.0%,3.5,1.3,1-1-0,50.0%,16.0,-3.0,2-1-0,66.7%,2.7,+0.8,1-2-0,33.3%,-7.0,-9.3,1-0-0,100.0%,-6.0,1.5,1-2-0,33.3%,-12.7,-8.5,2-1-0,66.7%,8.3,0.0,2-1-0,66.7%,16.8,0.0,0-1-0,0.0%,-12.0,-10.0,,,,,1-2-0,33.3%,7.0,-9.8,1-0-0,100.0%,-6.0,1.5,2-1-0,66.7%,-2.3,-3.2
Purdue,4-4-0,50.0%,10.6,0.7,2-4-0,33.3%,6.7,-2.3,1-1-0,50.0%,13.5,-1.8,1-0-0,100.0%,35.0,+14.5,3-3-0,50.0%,5.5,-0.2,0-1-0,0.0%,-18.0,-12.5,1-1-0,50.0%,-4.5,0.3,3-3-0,50.0%,15.7,0.8,3-2-0,60.0%,18.2,+2.9,0-1-0,0.0%,2.0,-1.0,,,,,,,,,2-0-0,100.0%,22.5,9.5,3-2-0,60.0%,11.2,+2.0
Utah St,3-3-0,50.0%,25.3,7.8,0-2-0,0.0%,8.0,-2.3,1-2-0,33.3%,24.0,+7.2,,,,,2-3-0,40.0%,20.3,3.9,,,,,1-0-0,100.0%,8.0,10.5,2-3-0,40.0%,21.0,7.2,2-1-0,66.7%,40.0,+12.7,0-1-0,0.0%,4.0,-0.5,,,,,2-1-0,66.7%,33.0,+12.0,1-0-0,100.0%,29.0,15.0,2-0-0,100.0%,33.7,+12.8
E Illinois,3-3-0,50.0%,-11.0,-2.7,1-2-0,33.3%,-29.7,-6.3,2-2-0,50.0%,-17.3,-4.4,3-1-0,75.0%,0.6,+3.1,0-1-0,0.0%,-35.0,-8.0,2-3-0,40.0%,-25.2,-5.2,2-3-0,40.0%,-25.2,-5.2,1-0-0,100.0%,13.0,10.0,1-0-0,100.0%,24.5,+10.0,,,,,0-0-0,0.0%,36.0,--,2-1-0,66.7%,3.0,+1.0,,,,,1-1-0,50.0%,-22.0,+0.8
WI-Milwkee,4-4-0,50.0%,4.8,0.3,2-2-0,50.0%,-5.3,-2.0,1-1-0,50.0%,16.0,+1.0,1-2-0,33.3%,-3.0,-0.5,3-2-0,60.0%,-0.8,0.8,2-3-0,40.0%,-7.2,-1.8,2-2-0,50.0%,-8.8,-1.4,2-2-0,50.0%,5.5,2.0,2-1-0,66.7%,19.8,+3.8,1-1-0,50.0%,3.0,-0.3,,,,,1-1-0,50.0%,16.0,+1.0,1-1-0,50.0%,8.0,4.3,2-2-0,50.0%,-2.8,+0.3
TN State,3-3-0,50.0%,8.9,1.9,2-0-0,100.0%,1.0,8.5,1-0-0,100.0%,11.5,+3.5,1-3-0,25.0%,-5.3,-1.9,2-0-0,100.0%,20.7,9.5,2-1-0,66.7%,-10.0,5.0,2-3-0,40.0%,-9.2,2.0,1-0-0,100.0%,10.0,1.5,1-0-0,100.0%,39.0,+1.5,0-1-0,0.0%,-12.0,-3.5,0-1-0,0.0%,-15.0,-4.0,1-1-0,50.0%,24.0,+1.0,0-2-0,0.0%,-13.5,-3.8,2-1-0,66.7%,18.8,+5.2
Arkansas St,3-3-0,50.0%,9.0,-0.3,2-2-0,50.0%,-0.5,0.0,0-2-0,0.0%,17.7,-2.3,1-0-0,100.0%,17.0,+2.0,2-2-0,50.0%,8.2,-0.9,1-0-0,100.0%,-9.0,16.5,1-0-0,100.0%,-9.0,16.5,2-3-0,40.0%,5.8,-3.7,2-1-0,66.7%,18.8,+0.7,0-1-0,0.0%,-8.0,-16.5,,,,,1-1-0,50.0%,21.7,-1.0,,,,,3-0-0,100.0%,6.0,+6.3
Morehead St,3-3-0,50.0%,-7.1,-5.0,0-1-0,0.0%,-48.0,-26.0,1-3-0,25.0%,-16.5,-9.9,2-1-0,66.7%,8.5,+3.7,1-1-0,50.0%,-18.0,-7.5,2-2-0,50.0%,-21.8,-4.8,2-2-0,50.0%,-21.8,-4.8,0-1-0,0.0%,-9.0,-16.0,1-0-0,100.0%,23.0,+5.0,,,,,2-0-0,100.0%,5.3,+4.8,1-2-0,33.3%,5.8,-4.5,2-0-0,100.0%,-12.5,4.8,,,,
Wash State,4-4-0,50.0%,7.6,0.3,1-2-0,33.3%,2.7,-1.2,0-2-0,0.0%,9.5,-3.5,1-0-0,100.0%,14.0,+2.5,3-3-0,50.0%,6.5,1.1,,,,,0-2-0,0.0%,-13.5,-8.5,4-2-0,66.7%,14.7,3.3,3-1-0,75.0%,15.5,+4.8,0-1-0,0.0%,-17.0,-12.5,,,,,0-2-0,0.0%,0.5,-2.5,3-0-0,100.0%,17.3,3.7,4-1-0,80.0%,11.8,+4.4
TX-Arlington,3-3-0,50.0%,3.1,-2.1,2-1-0,66.7%,-3.3,-3.0,0-2-0,0.0%,2.3,-12.0,2-1-0,66.7%,5.0,+3.5,1-2-0,33.3%,-10.0,-7.7,1-1-0,50.0%,-6.5,2.0,2-2-0,50.0%,-7.8,-0.3,1-1-0,50.0%,-2.5,-5.8,0-1-0,0.0%,15.3,-16.5,2-0-0,100.0%,2.5,3.8,0-0-0,0.0%,26.0,--,0-2-0,0.0%,9.5,-8.3,1-0-0,100.0%,-3.0,13.0,1-1-0,50.0%,-6.5,+2.0
WI-Grn Bay,4-4-0,50.0%,-7.3,-0.4,2-3-0,40.0%,-10.4,-2.0,2-1-0,66.7%,-1.7,+3.2,2-3-0,40.0%,-2.8,+1.7,1-1-0,50.0%,-15.5,-8.3,3-2-0,60.0%,-12.6,-0.7,3-2-0,60.0%,-12.0,0.8,1-2-0,33.3%,0.7,-2.5,1-2-0,33.3%,1.7,0.0,,,,,,,,,,,,,2-1-0,66.7%,-2.0,2.2,2-3-0,40.0%,-10.6,-2.6
Colgate,4-4-0,50.0%,-4.1,-3.3,1-1-0,50.0%,-13.0,-9.3,2-1-0,66.7%,7.7,+5.0,3-2-0,60.0%,-5.4,+2.1,0-2-0,0.0%,-19.5,-20.8,2-3-0,40.0%,-8.0,-2.5,3-2-0,60.0%,-7.6,0.4,1-2-0,33.3%,1.7,-9.5,1-0-0,100.0%,33.0,+4.5,1-0-0,100.0%,-4.0,2.5,0-1-0,0.0%,-22.0,-21.0,1-1-0,50.0%,5.0,-3.0,2-2-0,50.0%,-4.3,-0.5,1-2-0,33.3%,-10.0,-7.7
Portland,3-3-0,50.0%,-11.6,-5.0,0-2-0,0.0%,-19.5,-10.0,1-0-0,100.0%,3.5,+0.5,2-2-0,50.0%,-11.8,+0.9,1-1-0,50.0%,-23.5,-16.8,2-0-0,100.0%,-4.0,11.8,3-3-0,50.0%,-15.7,-5.0,,,,,0-1-0,0.0%,-14.0,-34.0,0-1-0,0.0%,-12.0,-4.5,0-1-0,0.0%,-27.0,-15.5,1-0-0,100.0%,7.5,+6.5,2-1-0,66.7%,-19.0,-5.5,2-1-0,66.7%,-16.3,-3.5
Binghamton,4-4-0,50.0%,-5.0,-1.8,2-1-0,66.7%,-14.3,-4.7,0-3-0,0.0%,-17.7,-8.7,2-3-0,40.0%,4.5,+0.4,2-0-0,100.0%,-15.0,2.8,1-3-0,25.0%,-22.3,-5.4,3-4-0,42.9%,-13.3,-2.2,1-0-0,100.0%,19.0,1.5,2-0-0,100.0%,14.0,+1.5,1-0-0,100.0%,5.0,6.0,0-1-0,0.0%,-15.0,-1.0,1-1-0,50.0%,13.3,-0.8,1-2-0,33.3%,-14.0,0.5,3-0-0,100.0%,4.5,+2.3
UCSB,3-3-0,50.0%,20.9,3.9,1-0-0,100.0%,33.0,2.0,2-0-0,100.0%,35.3,+19.5,1-0-0,100.0%,16.0,+5.0,2-3-0,40.0%,16.2,3.7,1-1-0,50.0%,23.0,16.3,,,,,3-3-0,50.0%,16.2,3.9,2-2-0,50.0%,20.0,-2.3,,,,,,,,,2-0-0,100.0%,35.3,+19.5,0-3-0,0.0%,2.3,-5.8,1-3-0,25.0%,10.0,-3.9
S Illinois,3-3-1,50.0%,2.6,1.2,0-2-0,0.0%,-7.5,-7.5,1-1-0,50.0%,-8.5,-0.5,2-1-1,66.7%,12.6,+3.9,1-1-0,50.0%,-16.0,-0.5,1-1-0,50.0%,-16.0,-0.5,1-2-1,33.3%,-12.0,-1.8,2-1-0,66.7%,15.7,5.2,1-0-0,100.0%,23.5,+18.0,1-1-0,50.0%,11.0,-1.3,,,,,2-1-0,66.7%,4.3,+1.8,1-0-1,100.0%,9.5,9.0,1-1-1,50.0%,4.0,+4.0
Towson,4-4-0,50.0%,1.6,-3.6,3-2-0,60.0%,-8.0,-3.4,1-0-0,100.0%,-7.0,+4.0,2-1-0,66.7%,12.0,-0.7,1-3-0,25.0%,-6.8,-7.6,2-2-0,50.0%,-5.8,-4.4,2-2-0,50.0%,-12.8,-5.3,2-2-0,50.0%,2.5,-1.9,1-0-0,100.0%,29.5,+2.0,1-1-0,50.0%,-5.5,-2.0,,,,,0-1-0,0.0%,29.5,-6.0,1-1-0,50.0%,-2.5,-2.8,2-3-0,40.0%,5.3,-5.7
Portland St,3-3-0,50.0%,1.9,-2.6,2-1-0,66.7%,-9.7,-2.3,2-2-0,50.0%,-3.3,-0.5,1-1-0,50.0%,8.7,-6.8,1-2-0,33.3%,-1.7,-2.8,2-1-0,66.7%,-5.3,0.5,2-2-0,50.0%,-11.5,-4.8,1-1-0,50.0%,6.0,1.8,0-1-0,0.0%,25.0,-3.5,1-1-0,50.0%,-10.5,-6.8,,,,,1-2-0,33.3%,10.5,-2.8,,,,,0-0-0,0.0%,47.0,--
Manhattan,3-3-0,50.0%,-3.7,0.4,2-1-0,66.7%,-12.3,4.7,1-1-0,50.0%,-4.0,-1.0,1-1-0,50.0%,4.7,-3.8,2-1-0,66.7%,-3.3,4.7,1-2-0,33.3%,-14.0,0.0,3-1-0,75.0%,-9.0,4.0,0-2-0,0.0%,-3.5,-6.8,2-1-0,66.7%,4.0,+0.8,,,,,0-1-0,0.0%,-3.0,-4.0,1-0-0,100.0%,9.0,+2.0,0-2-0,0.0%,-3.5,-6.8,2-1-0,66.7%,-3.7,+2.8
Iowa St,3-3-0,50.0%,21.8,0.8,2-2-0,50.0%,17.5,1.5,2-2-0,50.0%,24.5,-1.4,0-1-0,0.0%,5.0,-4.5,3-1-0,75.0%,21.8,3.6,,,,,1-0-0,100.0%,-2.0,1.5,2-3-0,40.0%,26.6,0.6,1-2-0,33.3%,33.3,-2.3,1-1-0,50.0%,16.5,5.0,,,,,1-1-0,50.0%,30.5,-0.8,,,,,,,,
E Tenn St,3-3-0,50.0%,13.4,4.3,1-1-0,50.0%,9.0,-1.5,0-1-0,0.0%,20.0,-0.5,0-1-0,0.0%,19.5,-0.5,3-2-0,60.0%,9.4,5.2,1-1-0,50.0%,7.0,11.3,1-1-0,50.0%,7.0,11.3,2-2-0,50.0%,11.0,0.8,2-2-0,50.0%,15.5,+0.8,,,,,1-0-0,100.0%,15.0,+6.5,1-1-0,50.0%,18.8,+3.0,1-1-0,50.0%,7.0,11.3,2-2-0,50.0%,8.0,+4.9
Wichita St,3-3-1,50.0%,3.9,-0.5,1-1-0,50.0%,-15.0,-10.5,2-1-1,66.7%,8.8,+3.6,,,,,2-3-1,40.0%,3.3,-1.6,1-0-0,100.0%,7.0,6.0,0-1-0,0.0%,-37.0,-27.0,3-2-1,60.0%,10.7,3.9,1-2-0,33.3%,10.0,-1.5,0-1-0,0.0%,-37.0,-27.0,,,,,1-2-1,33.3%,8.0,-1.1,1-0-0,100.0%,25.0,22.0,1-1-0,50.0%,14.5,+4.5
Niagara,3-3-0,50.0%,-3.9,-0.9,0-3-0,0.0%,-18.0,-6.0,2-0-0,100.0%,10.0,+1.0,3-1-0,75.0%,-3.5,+2.0,0-2-0,0.0%,-24.0,-6.8,2-3-0,40.0%,-13.0,-1.4,2-3-0,40.0%,-13.0,-1.4,1-0-0,100.0%,3.0,1.5,0-0-0,0.0%,35.0,--,0-1-0,0.0%,-12.0,-7.5,1-0-0,100.0%,-3.0,+10.5,2-0-0,100.0%,10.0,+1.0,1-0-0,100.0%,-3.0,10.5,0-2-0,0.0%,-21.0,-5.3
Lehigh,3-3-0,50.0%,-7.3,-7.0,0-1-0,0.0%,-44.0,-28.5,1-2-0,33.3%,-2.0,-11.8,3-1-0,75.0%,0.6,+0.3,0-1-0,0.0%,-10.0,-14.5,2-3-0,40.0%,-20.6,-9.2,2-2-0,50.0%,-23.3,-7.9,1-1-0,50.0%,-2.5,-5.3,1-0-0,100.0%,26.0,+4.0,,,,,1-0-0,100.0%,-8.0,+6.5,1-1-0,50.0%,12.0,-3.5,2-1-0,66.7%,-14.3,-2.2,1-1-0,50.0%,-17.5,-6.5
Albany,3-3-0,50.0%,5.6,-0.3,2-2-0,50.0%,1.0,2.6,0-2-0,0.0%,5.8,-12.3,0-1-0,0.0%,-6.0,-18.0,3-1-0,75.0%,13.0,5.8,1-2-0,33.3%,-8.7,-2.2,2-2-0,50.0%,-6.0,-0.6,1-1-0,50.0%,3.0,0.5,1-0-0,100.0%,15.0,+6.0,1-1-0,50.0%,-1.0,-0.5,,,,,0-1-0,0.0%,10.3,-18.0,1-0-0,100.0%,10.0,6.0,2-0-0,100.0%,12.0,+12.0
Fairfield,3-3-0,50.0%,-3.6,-4.9,2-1-0,66.7%,-10.3,-4.2,1-1-0,50.0%,-25.0,-11.5,3-1-0,75.0%,-7.5,+1.0,0-1-0,0.0%,21.5,-7.0,2-1-0,66.7%,-14.7,-6.2,2-2-0,50.0%,-18.5,-6.8,1-1-0,50.0%,0.0,-1.3,0-1-0,0.0%,21.5,-7.0,1-0-0,100.0%,1.0,9.5,,,,,1-2-0,33.3%,1.5,-5.7,,,,,1-2-0,33.3%,6.0,-5.3
Citadel,2-2-0,50.0%,8.4,3.0,2-1-0,66.7%,-0.7,7.8,1-0-0,100.0%,3.0,+7.5,0-1-0,0.0%,10.0,-3.0,1-1-0,50.0%,12.7,3.8,1-0-0,100.0%,-9.0,7.5,1-1-0,50.0%,-12.0,2.3,1-1-0,50.0%,6.5,3.8,1-2-0,33.3%,11.3,+1.5,,,,,,,,,0-0-0,0.0%,23.3,--,0-1-0,0.0%,-9.0,-11.5,1-2-0,33.3%,10.6,+1.5
N Colorado,3-3-0,50.0%,12.7,5.0,1-1-0,50.0%,7.0,3.8,0-0-0,0.0%,20.0,--,1-0-0,100.0%,34.0,+15.5,2-3-0,40.0%,4.3,2.9,2-2-0,50.0%,-7.5,5.3,3-2-0,60.0%,-4.2,6.7,0-1-0,0.0%,16.0,-3.5,0-1-0,0.0%,33.8,-3.5,,,,,2-0-0,100.0%,10.0,+14.0,0-1-0,0.0%,26.3,-2.5,2-1-0,66.7%,-1.7,8.3,1-3-0,25.0%,12.3,+0.5
New Mexico,4-4-0,50.0%,10.0,-0.1,3-1-0,75.0%,11.0,2.3,0-2-0,0.0%,-3.5,-8.8,1-1-0,50.0%,16.0,+1.3,3-2-0,60.0%,8.2,1.5,0-1-0,0.0%,-14.0,-7.0,1-1-0,50.0%,-3.0,2.8,3-3-0,50.0%,14.3,-1.0,1-2-0,33.3%,20.0,-2.0,1-0-0,100.0%,10.0,4.0,,,,,0-1-0,0.0%,-14.0,-7.0,1-2-0,33.3%,16.7,-0.8,3-2-0,60.0%,15.4,+2.6
E Carolina,3-3-0,50.0%,13.6,0.8,1-2-0,33.3%,9.3,0.3,1-2-0,33.3%,11.8,-3.2,0-1-0,0.0%,7.0,-6.0,3-2-0,60.0%,12.5,2.1,,,,,1-0-0,100.0%,1.0,4.5,2-3-0,40.0%,8.8,0.0,2-1-0,66.7%,18.6,+2.3,1-1-0,50.0%,12.0,4.8,,,,,2-1-0,66.7%,16.2,+1.2,,,,,1-0-0,100.0%,19.0,+4.5
Iona,4-4-0,50.0%,-8.6,-5.4,2-2-0,50.0%,-15.3,-7.0,1-2-0,33.3%,-20.0,-11.2,2-3-0,40.0%,-4.4,-4.9,1-1-0,50.0%,-23.0,-15.0,1-2-0,33.3%,-19.3,-9.5,3-3-0,50.0%,-12.3,-5.9,1-1-0,50.0%,2.5,-3.8,1-2-0,33.3%,-6.3,-6.7,1-0-0,100.0%,-3.0,0.5,,,,,0-1-0,0.0%,-16.0,-14.5,2-1-0,66.7%,2.7,-0.2,2-2-0,50.0%,-1.5,-2.5
Central Ark,3-3-0,50.0%,-4.3,1.6,1-1-0,50.0%,-20.0,0.8,1-2-0,33.3%,-0.5,-2.3,1-2-0,33.3%,7.3,+1.8,2-0-0,100.0%,-10.5,4.0,2-2-0,50.0%,-23.5,-0.4,3-2-0,60.0%,-17.0,3.0,0-1-0,0.0%,-4.0,-5.5,1-1-0,50.0%,21.3,+5.5,,,,,0-1-0,0.0%,-35.0,-5.5,2-1-0,66.7%,11.3,+4.5,0-1-0,0.0%,-35.0,-5.5,2-0-0,100.0%,3.5,+11.0
Campbell,3-3-0,50.0%,6.1,1.2,0-1-0,0.0%,-13.0,-9.0,1-1-0,50.0%,3.0,-4.0,1-2-0,33.3%,8.8,-2.3,2-1-0,66.7%,-11.0,4.7,3-2-0,60.0%,-8.0,3.2,3-2-0,60.0%,-8.0,3.2,0-1-0,0.0%,-1.0,-9.0,0-1-0,0.0%,29.7,-9.0,,,,,1-1-0,50.0%,-11.0,-1.0,1-2-0,33.3%,10.2,-5.7,2-0-0,100.0%,5.5,16.5,1-1-0,50.0%,20.7,+8.5
NJIT,4-4-0,50.0%,-12.4,-0.9,1-1-0,50.0%,-6.5,0.8,2-0-0,100.0%,-2.0,+8.0,3-4-0,42.9%,-14.0,-2.0,,,,,2-3-0,40.0%,-17.8,-2.9,4-4-0,50.0%,-12.4,-0.9,,,,,1-1-0,50.0%,-9.5,-4.3,1-0-0,100.0%,9.0,16.0,1-0-0,100.0%,-20.0,+1.0,1-2-0,33.3%,-19.3,-7.0,2-1-0,66.7%,-9.3,4.2,0-4-0,0.0%,-21.0,-10.0
Alcorn St,3-3-1,50.0%,-25.1,-4.1,0-1-1,0.0%,-29.0,-8.8,2-1-0,66.7%,-24.3,0.0,3-2-1,60.0%,-22.9,-1.8,,,,,3-3-1,50.0%,-25.1,-4.1,3-3-1,50.0%,-27.9,-4.1,,,,,,,,,,,,,0-2-1,0.0%,-35.0,-12.8,2-0-0,100.0%,-12.7,+8.8,1-2-0,33.3%,-35.0,-9.5,1-0-0,100.0%,-11.5,+10.0
Prairie View,3-3-0,50.0%,-16.9,-5.2,1-1-0,50.0%,-24.5,-6.3,1-2-0,33.3%,-14.5,-7.2,3-2-0,60.0%,-21.2,-3.0,0-1-0,0.0%,-33.0,-16.0,3-3-0,50.0%,-23.2,-5.2,3-3-0,50.0%,-23.2,-5.2,,,,,0-0-0,0.0%,21.0,--,,,,,1-0-0,100.0%,-11.0,+3.0,1-2-0,33.3%,-14.5,-7.2,1-0-0,100.0%,-11.0,3.0,1-1-0,50.0%,-24.5,-6.3
UC Davis,3-3-0,50.0%,-7.6,-2.5,1-2-0,33.3%,-17.7,-4.5,1-3-0,25.0%,-12.8,-10.3,2-1-0,66.7%,-7.3,+1.3,0-2-0,0.0%,-8.3,-14.3,3-2-0,60.0%,-8.4,2.5,2-2-0,50.0%,-11.5,2.6,1-1-0,50.0%,-8.5,-12.8,0-1-0,0.0%,-5.5,-27.5,,,,,1-0-0,100.0%,4.0,+2.0,0-1-0,0.0%,-5.5,-27.5,2-0-0,100.0%,5.5,13.0,1-0-0,100.0%,7.0,+24.0
CS Bakersfld,3-3-1,50.0%,6.8,1.6,2-2-1,50.0%,-4.6,0.2,1-2-1,33.3%,-6.3,-0.8,1-1-0,50.0%,24.7,+6.0,2-2-0,50.0%,-1.8,-0.1,0-2-1,0.0%,-14.3,-6.7,1-3-1,25.0%,-7.6,-1.6,2-0-0,100.0%,11.5,9.8,2-0-0,100.0%,30.7,+9.8,1-1-0,50.0%,2.5,6.0,,,,,1-1-0,50.0%,25.7,+5.3,,,,,1-0-0,100.0%,37.0,+2.5
Connecticut,4-4-0,50.0%,23.0,-4.2,3-3-0,50.0%,25.0,-3.9,1-2-0,33.3%,23.0,-4.2,1-2-0,33.3%,11.7,-9.0,2-2-0,50.0%,28.3,-1.8,,,,,,,,,4-4-0,50.0%,23.0,-4.2,4-1-0,80.0%,41.0,+3.5,0-2-0,0.0%,-9.5,-20.3,,,,,1-1-0,50.0%,17.0,-5.0,,,,,3-0-0,100.0%,44.7,+6.5
Abl Christian,3-3-0,50.0%,7.5,-3.2,1-2-0,33.3%,-5.7,-6.2,1-1-0,50.0%,6.0,-11.0,2-0-0,100.0%,23.3,+9.8,1-3-0,25.0%,-10.8,-9.6,1-2-0,33.3%,-5.3,-2.3,0-2-0,0.0%,-16.0,-10.8,3-1-0,75.0%,3.3,0.6,1-1-0,50.0%,17.0,-8.5,0-1-0,0.0%,-26.0,-20.0,,,,,1-0-0,100.0%,29.0,+5.0,1-1-0,50.0%,-5.0,-2.8,2-1-0,66.7%,17.0,+7.7
Boston Col,4-4-0,50.0%,4.6,-0.1,2-3-0,40.0%,3.6,1.7,2-1-0,66.7%,14.0,+5.3,1-0-0,100.0%,3.0,+4.5,3-3-0,50.0%,4.2,0.4,,,,,2-1-0,66.7%,-6.7,0.7,2-3-0,40.0%,11.4,-0.5,2-2-0,50.0%,7.0,-4.1,1-1-0,50.0%,2.0,5.5,,,,,2-0-0,100.0%,12.0,+6.5,0-1-0,0.0%,-5.0,-22.0,1-2-0,33.3%,-3.0,-9.2
Toledo,4-4-0,50.0%,-2.1,-7.1,3-3-0,50.0%,0.2,-3.2,2-2-0,50.0%,-2.0,-6.1,1-1-0,50.0%,-11.5,-16.3,3-2-0,60.0%,3.2,-4.0,2-1-0,66.7%,5.0,3.0,0-1-0,0.0%,-10.0,-4.0,4-3-0,57.1%,-1.0,-7.5,1-1-0,50.0%,-12.0,-19.8,0-2-0,0.0%,-16.5,-19.0,,,,,,,,,1-1-0,50.0%,-9.0,-18.8,2-0-0,100.0%,12.0,+3.0
Rider,4-4-0,50.0%,-7.9,0.3,1-1-0,50.0%,-12.0,-5.0,0-2-0,0.0%,-30.0,-8.0,2-1-0,66.7%,-0.3,+1.7,2-2-0,50.0%,-6.8,2.4,4-3-0,57.1%,-8.1,1.4,3-3-0,50.0%,-11.3,1.3,1-1-0,50.0%,2.5,-2.8,0-1-0,0.0%,-6.0,-7.5,,,,,1-0-0,100.0%,1.0,+4.0,1-2-0,33.3%,-15.0,-0.2,2-1-0,66.7%,2.0,4.3,3-2-0,60.0%,-0.8,+2.9
